titulo,descripcion,precio,nro_ambientes,nro_banios,area_m2,latitud,longitud,estado,detalles,enlace
COMPRA ESTE DEPARTAMENTO EN ACHUMANI,"Achumani, La Paz - Departamento en Venta","$us. 155,000",3.0,3.0,103.0,-16.519627,-68.06356,Disponible,"COMPRA ESTE HERMOSO DEPARTAMENTO EN ACHUMANI **TIPO DE CAMBIO OFICIAL** UBICACIÓN: Calle 30 a pasos de la The Strongest SUPERFICIE: 103 M2 EXPENSAS: Bs. 300 PRECIO: $us. 155.000 incluye Parqueo **TIPO DE CAMBIO OFICIAL** CARACTERÍSTICAS: Hermoso departamento con balcones distribuido de la siguiente manera: Amplio Living comedor con pisos de madera mara Cocina cerrada con mesones de granito, cajonería alta y baja, cuenta con conexión a gas domiciliario. Dormitorio principal en suite con closet empotrado. 2 Dormitorios secundarios con closets empotrados Baño compartido Elegante Baño de visitas Área de servicio Parqueo con portón eléctrico",https://www.ultracasas.com/inmueble/departamento-en-venta-achumani-compra-este-departamento-en-la-paz-1050838
ACHUMANI - LA BARQUETA SE VENDE CASA COMO TERRENO - A TIPO DE T/C A 7,"Achumani, La Paz - Casa en Venta","$us. 460,000",3.0,3.0,547.0,-16.517569,-68.062363,Disponible,"En venta amplio casa como terreno ideal para construcción en Achumani – La Barqueta (inmediaciones calle 30) Se ofrece una casa como terreno, perfecta para levantar un proyecto inmobiliario o una residencia familiar Superficie de terreno: 612m² Superficie construida: 547m² Precio: $us 460000 (tipo de cambio 7) Ubicación estratégica, con acceso inmediato a transporte, colegios y todos los servicios",https://www.ultracasas.com/inmueble/casa-en-venta-achumani-achumani-la-barqueta-se-vende-casa-la-paz-1053825
EN ALQUILER HERMOSO DEPARTAMENTO DÚPLEX CON TERRAZA EN ACHUMANI,"Achumani, La Paz - Departamento en Alquiler","$us. 1,500",3.0,5.0,220.0,-16.529913,-68.073952,Disponible,"Precioso y elegante departamento dúplex con terraza y calefacción central. Fino amoblado y decorado con muchos detalles. Totalmente equipado con toda la línea blanca con algunos artefactos a estrenar, también, vajilla y utensilios. Cuenta 220 m2 de área útil construida 137 m2 de terraza. Sus ambientes son: * Área de recepción * Living-comedor amplio * Baño de visitas * Cocina con comedor de diario y despensa * Sala de estar familiar * 3 Dormitorios, uno en Suite y los demás comparten baño, el master con Walk-in Closet y baño completo En el segundo pis una Terraza con su propio baño, acceso con ascensor a la misma * El parrillero grande * Dependencias de empleada * Cuarto de maquinas * Área de lavanderia * Garaje para 2 movilidades Garantía: Un mes de alquiler Expensas: Bs. 930.-",https://www.ultracasas.com/inmueble/departamento-en-alquiler-achumani-en-alquiler-hermoso-la-paz-1002385
"OFICINA EN VENTA, SOPOCACHI","Sopocachi, La Paz - Oficina en Venta","$us. 220,000",5.0,3.0,221.0,-16.512682,-68.12532,Disponible,"COMPRA TU OFICINA EN LA SANCHEZ LIMA, SOPOCACHI Hermosa, amplia, iluminada y elegante oficina en Piso 5 con inmejorable ubicación para ir hacia la zona sur o al centro de la ciudad libre de tráfico vehicular, ideal para cualquier tipo de negocio. UBICACIÓN: Sanchez Lima y Pinilla, Sopocachi SUPERFICIE: 220.98m2 PRECIO: Oficina $us. 220.000 PRECIO: Parqueo  $us. 15.000 CARACTERÍSTICAS: Ingreso desde Ascensor hacia la recepción , en edificio de 16 pisos con cámaras de vigilancia y portería, distribuido de la siguiente manera: Amplia recepción e iluminada portón eléctrico Sala de reuniones con vista hermosa de la ciudad. Cocineta 10 ambientes de oficina Ante sala 3 baños Un depósito Parqueo",https://www.ultracasas.com/inmueble/oficina-en-venta-sopocachi-oficina-en-venta-sopocachi-la-paz-983937
"LOCAL COMERCIAL EN VENTA A ESTRENAR, ACHUMANI","Achumani, La Paz - Local comercial en Venta","$us. 224,000",2.0,,168.0,-16.518681,-68.056099,Disponible,"¡PIENSA EN GRANDE E INVIERTE! UBICACIÓN: Calle 31 de Achumani en la ciudad de La Paz, a tan solo tres 3 minutos del supermercado Hipermaxi. SUPERFICIE: 167,65M2 PRECIO: $us. 224,000 (tipo de cambio 6.96 Boulevard Natura ubicado en la calle 31 de Achumani con un Mercado cautivo en un radio menor a 1 km.  donde el público son Familias con niños y parejas jóvenes, con una amplia afluencia de personas. + de 3.500 personas + de 6 condominios privados + de 8 cuadras de viviendas habitadas, te ofrece: Locales comerciales en una zona Residencial con Baño privado en todos los locales. Competencia nula Local seguro Sobre la avenida principal ¡No dejes pasar esta oportunidad!",https://www.ultracasas.com/inmueble/local-comercial-en-venta-achumani-local-comercial-en-venta-a-la-paz-1021232
ACHUMANI,"Achumani, La Paz - Casa en Venta","$us. 160,000",5.0,5.0,367.0,-16.51189,-68.065796,Disponible,"COMPRA TU CASA EN LA MESETA DE ACHUMANI, CIUDADELA ESTRONGUISTA UBICACIÓN: Ciudadela Estronguista, a 7 minutos de Achumani SUPERFICIE TERRENO: 308 mts2 AREA CONSTRUIDA: 367 mts2 PRECIO: $us 160.000 CARACTERISTICAS: Gran oportunidad!, cómoda casa de 5 dormitorios y escritorio a 7 minutos de Achumani, en una zona en crecimiento, con una maravillosa vista. Consta de: • 3 plantas • Living – comedor con chimenea • Amplia cocina con comedor de diario • Sala de estar • 5 dormitorios (3 en suite), el dormitorio principal con vestidor y área anexa • Escritorio • Garaje para 2 movilidades • Área de servicio • Lavandería • Depósito Muy soleada, maravillosas vistas, cerca a la parada de trufis de la zona 23 de marzo",https://www.ultracasas.com/inmueble/casa-en-venta-achumani-achumani-la-paz-685297
"DEPARTAMENTO EN ALQUILER, CALACOTO","Calacoto, La Paz - Departamento en Alquiler","Bs. 5,500",3.0,4.0,157.0,-16.538263,-68.079208,Disponible,"🏡 ¡DEPARTAMENTO EN ALQUILER EN INMEJORABLE UBICACIÓN – CALACOTO, CALLE 20! 🌇 📍 Zona residencial exclusiva, cerca de todo lo que necesitas: supermercados 🛒, farmacias 💊, restaurantes 🍽️, transporte público 🚍, tiendas 🛍️ y galerías comerciales 🏬. 📐 Superficie: 157 m² 🚪 Distribución perfecta para tu comodidad: 🛋️ Amplio living y comedor 🚻 Baño de visitas 📺 Estar familiar con mueblería empotrada 🍳 Cocina equipada con muebles altos y bajos 🧺 Sala de lavandería y de máquinas 🧹 Cuarto de servicio con baño y ducha 🛏️ Dormitorio principal con baño privado y doble closet empotrado 🛌 Dos dormitorios adicionales con closets 🛁 Baño compartido para los dos dormitorios 🧱 Todos los ambientes amplios, iluminados y funcionales 🚗 Incluye garaje y baulera 🔌 Servicios completos 🌟 Ideal para familias que buscan confort y ubicación privilegiada PRECIO: 5.500 Bs. - 📞 ¡Contáctanos para agendar una visita y enamorarte de tu próximo hogar!",https://www.ultracasas.com/inmueble/departamento-en-alquiler-calacoto-departamento-en-alquiler-la-paz-1052305
"DEPARTAMENTO EN VENTA, ACHUMANI","Achumani, La Paz - Departamento en Venta","$us. 136,400",3.0,3.0,125.0,-16.513908,-68.05912,Disponible,"🏡 ¡Vive cómodo, conectado y con estilo en Achumani! Se vende departamento en pleno corazón de la Av. Strongest, a pasos del complejo deportivo y con transporte público en la puerta. ✨ Características destacadas: ✅ 3 dormitorios (1 en suite) ✅ 3 baños ✅ Living - comedor amplio ✅ Cocina independiente ✅ Lavandería ✅ Garage y baulera incluidos ✅ Ascensor ✅ Terraza con parrillero ✅ Conexión a gas domiciliario ☀️ Sol por la tarde y parte de la mañana 📍 Edificio exclusivo: ¡solo 1 departamento por piso! (3er piso) 🛍️ Acceso inmediato a tiendas, mercados y servicios 💰 Precio imperdible por todo lo que ofrece T.C = 7Bs Garage+Baulera= 12.000 USD",https://www.ultracasas.com/inmueble/departamento-en-venta-achumani-departamento-en-venta-la-paz-1048949
"OFICINA EN ALQUILER, AV- 6 DE AGOSTO","San Jorge, La Paz - Oficina en Alquiler","Bs. 9,800",1.0,1.0,157.0,-16.509956,-68.124435,Disponible,"UBICACIÓN: Av. 6 de agosto entre Belisario Salinas y Pedro Salazar. SUPERFICIE: 157 Mts2 ALQUILER MENSUAL: Bs 9.800 CARACTERISTICAS: Amplio oficina con dos ingresos , excelente ubicación, para un rendimiento óptimo de tu negocio con entrega inmediata, cuenta con: Espacio apto para poner divisiones si se requiere y ampliación 2 baños 1 Cocina cerrada NO DEJES PASAR ESTA MARAVILLOSA OPORTUNIDAD",https://www.ultracasas.com/inmueble/oficina-en-alquiler-san-jorge-oficina-en-alquiler-av-6-de-la-paz-1053925
,,,,,,,,Disponible,,
HERMOSA CASA EN ALQUILER CONDOMINIO PRIVADO CALACOTO,"Auquisamaña, La Paz - Casa en Alquiler","$us. 1,300",3.0,4.0,320.0,-16.548332,-68.069252,Disponible,"Esta hermosa casa, única en su estilo, la pongo a tu consideración para que la tomes como una alternativa de tu próximo hogar, cómoda, excelente ubicación , llena de sol cada ventana da al jardín ya que en la casa lo que sobra es area de jardín, cuanta con todos los ambientes necesarios para que sea el mejor lugar y seguro donde vivir , seguridad 24/7 super residencial La superficie de terreno es de 600 m2 y la casa construida tiene 305 m2 , en una sola planta Sus ambientes son : Area de recepción Living comedor con salamandra Baño de Visitas Cocina Area de estar familiar 3 dormitorios el principal cuenta con baño y Wolking closet Amplio jardín Area de lavanderia Area de servicio cuarto y baño Garaje para tres autos Precio $us. 1300 Contacto : Patricia Vilela cel.  o cel. También con Karen Othler al cel.",https://www.ultracasas.com/inmueble/casa-en-alquiler-auquisamana-hermosa-casa-en-alquiler-la-paz-1042983
"DEPARTAMENTO EN ALQUILER, CALACOTO","Calacoto, La Paz - Departamento en Alquiler",$us. 570,2.0,2.0,120.0,-16.539497,-68.078262,Disponible,"🏡✨ ¡Bonito y cómodo departamento en alquiler! ✨🏡 📍 Ubicación inmejorable sobre avenida principal 🚦, cerca de todo lo que necesitas: transporte 🚎, tiendas 🛍️, bancos 🏦, restaurantes 🍽️ y más. ☀️ Lleno de luz natural, ambientes cálidos y acogedores para disfrutar cada día. 🔹 Características del departamento: 🛏️ 2 dormitorios amplios 🛁 2 baños 🛋️ Living – comedor luminoso 🍳 Cocina amplia y funcional 🧺 Área de lavandería 🧹 Área de servicio 🚗 Garaje para tu comodidad 📐 Superficie construida: 120 m² 💵 Precio: Bs 4.000 🌟 Ideal para quienes buscan comodidad, buena ubicación y un espacio bien iluminado. 📲 ¡Agenda tu visita hoy mismo y no dejes pasar esta oportunidad!",https://www.ultracasas.com/inmueble/departamento-en-alquiler-calacoto-departamento-en-alquiler-la-paz-1051852
"CASA EN ALQUILER ACHUMANI, JURENKO","Achumani, La Paz - Casa en Alquiler","Bs. 5,000",2.0,2.0,120.0,-16.510698,-68.058052,Disponible,"ALQUILA ESTA CASA EN ACHUMANI UBICACIÓN: Calle 43 de Achumani, sector Jurenko SUPERFICIE: 120m2 construidos, 600m2 de Terreno PRECIO: Bs. 5000 CARACTERÍSTICAS: Cómoda casa ideal para oficinas o vivienda, distribuido de la siguiente manera: Living comedor con pisos de madera Cocina Americana con mesones, cajonería alta y baja y espacio para comedor de diario con salida al jardín Dos Dormitorios (uno en suite) Baño compartido Completo Amplio Jardín exterior Área de lavandería y de servicio Parqueo para 3 vehículos",https://www.ultracasas.com/inmueble/casa-en-alquiler-achumani-casa-en-alquiler-achumani-jurenko-la-paz-1050618
"ACHUMANI, CONDOMINIO GIRASOLES","Achumani, La Paz - Departamento en Alquiler","Bs. 22,000",4.0,5.0,241.0,-16.526087,-68.065689,Disponible,"PENTHOUSE EN ALQUILER – ACHUMANI, CONDOMINIO GIRASOLES, A PASOS DEL COLEGIO ALEMÁN Se alquila exclusivo penthouse dúplex completamente amoblado y equipado, ubicado en uno de los condominio más solicitados de Achumani, a pasos del Colegio Alemán. Un espacio amplio, elegante y lleno de confort, ideal para familias que buscan calidad de vida, privacidad y seguridad. Superficie: 241 m² Distribución: Planta Baja: • Amplioso living comedor con excelente iluminación natural • Cocina cerrada totalmente equipada • Sala de estar familiar • Escritorio ideal para home office • Dos dormitorios en suite • Un dormitorio adicional • Baño de visitas Planta Alta: • Dormitorio principal Master Suite con amplios espacios • Área social con parrillero techado y baño • Gran terraza privada con vistas panorámicas Características destacadas: • Dúplex estilo penthouse, espacios amplios y luminosos • Completamente amoblado y equipado • Terraza y área de parrillero privada • Condominio cerrado con seguridad permanente Amenidades del Condominio: • Piscina • Sauna • Parques infantiles • Cancha de fútbol • Áreas de parrilleros • Salón de eventos - Jardines y áreas recreativas Precio alquiler: Bs.-  22.000 bolivianos  ó $US.- 2.200 dólares Un lugar exclusivo para vivir con comodidad, privacidad y acceso a las mejores comodidades en la zona sur.",https://www.ultracasas.com/inmueble/departamento-en-venta-achumani-achumani-condominio-girasoles-la-paz-1054159
"LOCAL COMERCIAL EN ALQUILER, CALACOTO","Calacoto, La Paz - Local comercial en Alquiler","$us. 2,100",1.0,,196.0,-16.54501,-68.084526,Disponible,"¡Excelente oportunidad para tu negocio en Calacoto!​ Presentamos un local comercial en alquiler en una de las zonas más exclusivas y transitadas de La Paz, ideal para potenciar tu emprendimiento.​ Características destacadas: 📏 Superficie: 196 m²​ 📍 Ubicación privilegiada: Situado en una esquina sobre una avenida de alto tráfico, garantizando máxima visibilidad.​ 🪟 Diseño funcional: Amplios ventanales que permiten una excelente exhibición de productos y entrada de luz natural, un baño, kitchenet. 📦 Espacio adicional: Área posterior ideal para almacenamiento o adaptaciones según las necesidades de tu negocio.​ Ideal para: 🛍️ Negocios de comercio minorista ☕ Cafeterías​ 🏪 Tiendas de conveniencia​ Precio de alquiler: Bs 14.616 NEGOCIABLES!!!",https://www.ultracasas.com/inmueble/local-comercial-en-alquiler-calacoto-local-comercial-en-la-paz-1045839
AMPLIO Y SOLEADO DEPARTAMENTO EN VENTA SOPOCACHI,"Sopocachi, La Paz - Departamento en Venta","$us. 172,000",4.0,3.0,155.0,-16.51082,-68.126396,Disponible,"En venta departamento sobre la Av 20 de octubre de la zona de Sopocachi Con una superficie de 155m², este departamento destaca por su excelente ubicación, ambientes soleados y vistas abiertas desde un piso alto. Sus espacios han sido renovados, con baños y cocina remodelados, además de pisos de parquet en áreas sociales. ✨Características: 4 dormitorios (1 en suite con closets) Living–comedor con amplios ventanales Cocina moderna con cajonería alta y baja, mesones de granito, cocina y horno empotrados 3 baños renovados Dependencias de servicio Área de lavandería Incluye un parqueo dentro del precio",https://www.ultracasas.com/inmueble/departamento-en-venta-sopocachi-amplio-y-soleado-la-paz-1053834
"OFICINA EN ALQUILER, AV. 6 DE AGOSTO","San Jorge, La Paz - Oficina en Alquiler","Bs. 4,300",1.0,1.0,60.0,-16.51193,-68.121948,Disponible,"UBICACIÓN: Av. 6 de agosto entre Belisario Salinas y Pedro Salazar. SUPERFICIE: 60 Mts2 ALQUILER MENSUAL: Bs 4.300 CARACTERISTICAS: Amplio oficina con dos ingresos , excelente ubicación, para un rendimiento óptimo de tu negocio con entrega inmediata, cuenta con: Espacio apto para poner divisiones si se requiere y ampliación 2 baños 1 Cocina cerrada NO DEJES PASAR ESTA MARAVILLOSA OPORTUNIDAD",https://www.ultracasas.com/inmueble/oficina-en-alquiler-san-jorge-oficina-en-alquiler-av-6-de-la-paz-1053926
"TERRENO EN ALQUILER, ACHUMANI","Achumani, La Paz - Casa en Alquiler","Bs. 7,000",1.0,1.0,20.0,-16.53018,-68.069916,Disponible,"🚗🔧 ALQUILA ESTE TERRENO IDEAL PARA TU NEGOCIO 🔧🚗 Si buscas un espacio estratégico para crecer con tu emprendimiento, este terreno es perfecto para ti. Con una ubicación privilegiada, a tan solo una cuadra de la avenida principal, tendrás a tu alcance todo lo que necesitas para que tu negocio despegue 🚀. 🌟 Ideal para: ▪️ 🚘 Auto venta ▪️ 🔧 Taller mecánico ▪️ 🏗️ Depósito o almacén ▪️ 🏢 Cualquier otra actividad comercial que requieras 📐 Superficie de terreno: 300 m² 💰 Precio: Bs 7.000 ✅ Ventajas del terreno: ▪️ 📍 Ubicación inmejorable cerca de transporte público y comercios ▪️ ⚡ Servicios básicos disponibles (agua, luz, etc.) ▪️ 🏗️ Espacio amplio y versátil para múltiples usos ✨ ¡No dejes pasar esta oportunidad de alquilar un terreno que se adapta a tus necesidades y con una ubicación estratégica para tu negocio! 📲 Contáctanos ahora y agenda tu visita. 🏃‍♂️",https://www.ultracasas.com/inmueble/casa-en-alquiler-achumani-terreno-en-alquiler-achumani-la-paz-1052086
"CASA EN ALQUILER CON GARZONIER INDEPENDIENTE, IRPAVI BAJO","Irpavi, La Paz - Casa en Alquiler","Bs. 20,000",4.0,6.0,430.0,-16.521395,-68.087128,Disponible,"CASA EN ALQUILER EN IRPAVI - CON GARZONIER TOTALMENTE INDEPENDIENTE SUPERFICIE TERRENO: 600 Mts2 SUPERFICIE COSNTRUCCION: 430 Mts2 ALQUILER MENSUAL: Bs. 20,000 CARACTERISTICAS: Linda casa con excelentes materiales, llena de sol, transporte publico a la puerta, cuenta con: Amplio Livig-Comedor con ventanas de piso a techo Amplio jardin Cocina cerrada con cajoneria alta y baja con mesones de cuarzo blanco Comedor de diario Despensa Área de servicio Área de lavandería Baño de visitas Estar familiar o dormitorio 1 master suite 1 dormitorio en suite 2 dormitorios comparten un baño Ambiente amplio para gimnasio, sala de juegos con baño privado Garaje para 3 movilidades Garzonier totalmente Independiente",https://www.ultracasas.com/inmueble/casa-en-alquiler-irpavi-casa-en-alquiler-con-garzonier-la-paz-1053924
EN VENTA DEPARTAMENTO EN SAN MIGUEL SOBRE AV MONTENGRO,"San Miguel, La Paz - Departamento en Venta","$us. 135,000",2.0,3.0,115.0,-16.542953,-68.079849,Disponible,"Te presento este hermoso departamento en pleno San Miguel, piso alto lleno de sol. Miderno . Una excelente oportunidad para vivir cerca de todo: cafeterías, supermercados, bancos, farmacias y el centro comercial de La Paz. Es un lugar cómodo y tranquilo, ubicado en un piso alto con vistas espectaculares, totalmente amoblado y equipado El departamento tiene 115 m2 útiles además de garaje y baulera Sus ambientes son : • Área de Recepción • Living-comedor con bellas vistas a la ciudad • Cocina amplia estilo americano totalmente equipada con línea blanca completa • 2 dormitorios en suite, el master más grande con walk-in closet; el segundo con closet • Los dos baños de los dormitorios cuentan con un sistema de calefacción y radiador para secar toallas • Baño de visitas • Área de lavandería • Garaje para un vehículo • Baulera",https://www.ultracasas.com/inmueble/departamento-en-alquiler-san-miguel-en-alquiler-departamento-la-paz-1030468
